,team_Name,current_elo32,sevenDayAgo_elo32,sevenDayAvg_elo32,thirtyDayAgo_elo32,thirtyDayAvg_elo32,current_elo64,sevenDayAgo_elo64,sevenDayAvg_elo64,thirtyDayAgo_elo64,thirtyDayAvg_elo64,mu_glicko,phi_glicko,rating_glicko,ratingSevenDaysAgo_glicko,sigma_glicko,mu_glicko2,phi_glicko2,rating_glicko2,ratingSevenDaysAgo_glicko2,sigma_glicko2
0,PENTA Sports,984.473917183071,980.8060255829422,983.0127729928696,966.3608287438035,980.3246259614774,1006.4311405062329,1009.3222598025178,1007.5472827302123,984.7120459307757,1009.7501051044653,1716.2571522124165,,1404.9268227572934,1319.4464515399663,124.53213178204919,1617.0571707698928,67.3803984382892,1448.6061746741698,1428.7899410587563,
1,LYG.Gaming,927.1866907334808,923.5937815844629,925.4025966460483,910.4925742730843,919.1170335567414,910.8308260156525,906.430851007704,908.6459755028927,890.3867534941949,900.9485026871946,1472.4158762338864,,957.3377729381504,997.7523612101036,206.0312413182944,1453.4750764589394,66.10644326863786,1288.2089682873448,1290.2773038166647,
2,Team VDuoBao,1034.7258055831246,1036.439320129345,1035.576667946699,1078.3234352280622,1039.7238978519713,1039.2651676292207,1041.2026730308276,1040.227254837109,1123.7171860759934,1046.0506531598905,1727.3354387949107,,1275.8633408794765,1322.5798888685836,180.5888391661737,1682.455183761912,56.84479222034449,1540.3432032110506,1542.7509000341643,
3,EHOME,980.6633253808103,979.7091740608015,980.1895322349388,988.584139361605,979.961993448783,994.4426950262766,994.1684746662202,994.3065282314208,987.1387433599848,992.3048775064356,1871.5298898146032,,1395.7088018250142,1439.7826167767805,190.32843519583557,1790.7023065350704,56.908454795278054,1648.4311695468753,1650.9360667526732,
4,Newbee.Young,1064.4469033023772,1067.6269794564964,1066.0260011389312,1098.938959997248,1072.225343698082,1078.036823696525,1081.8874826027595,1079.9489059402995,1141.6940321610602,1088.1616914910442,1797.2316813475193,,1351.9882227627897,1399.4355810492739,178.0973834338918,1728.0983462397771,52.1081042206629,1597.82808568812,1600.4761047116765,
5,Vici Gaming Potential,1171.442704124376,1179.902394617582,1175.6434459646096,1166.2017689047414,1187.6262030352043,1280.6841728094867,1294.5342881610686,1287.5615826977294,1275.4760537139032,1307.7304709755213,1942.0520367544634,,1550.6444514523923,1605.6001117607163,156.5630341208284,1799.2517891279686,52.5909056502821,1667.7745250022633,1670.382285010342,
6,Invictus Gaming,1038.2298826216208,1040.116302788768,1039.1666029579924,1064.8254170327714,1046.4111210449375,1073.7101605779928,1077.3473240716457,1075.516229591963,1112.364595258926,1086.6916561392306,2034.229147173331,,1595.768268579936,1644.03952396829,175.38435143735802,1919.2072146563632,48.37945527268924,1798.2585764746402,1801.1715907305156,
7,ForTheDream,1087.9895959573823,1092.33136571786,1090.1455440867076,1071.98677838804,1097.1000456374602,1151.7260263562496,1159.2128146059654,1155.4436640966383,1091.5293776744923,1165.5605825096234,1797.7092004196459,,1413.7920187877662,1470.0014001582458,153.5668726527519,1749.6914338887905,63.11472919475097,1591.904610901913,1594.0711620890788,
8,We.are.young,889.2659865452811,883.80191336887,886.5527477064984,863.8776813664335,876.9937036977421,838.5118822566427,830.5433921338548,834.55505075209,801.4870378740038,820.6146906383368,1408.6336392262579,,908.3267034323628,950.0411948887212,200.12277431755803,1493.127974017557,57.60625902267173,1349.1123264608777,1351.4988241876013,
9,OpTic Gaming,1062.9974196178018,1024.58091101549,1043.9910540032984,1073.4318075295462,1036.286121592265,1128.2307816647212,1044.7489452703637,1086.927863981817,1107.339557720805,1060.0533419282388,1932.131267482921,,1646.3138149683555,1509.5077858093457,114.32698100582618,1848.7532589504162,54.98633453683701,1711.2874226083236,1690.2100309524712,
